exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,DYAX,2008-07-01,3.06,3.24,3.00,3.12,299000,3.12
NASDAQ,DYAX,2008-06-30,3.31,3.37,3.05,3.10,323000,3.10
NASDAQ,DYAX,2008-06-27,3.32,3.38,3.24,3.32,5889300,3.32
NASDAQ,DYAX,2008-06-26,3.25,3.33,3.20,3.33,127200,3.33
NASDAQ,DYAX,2008-06-25,3.28,3.36,3.24,3.26,99200,3.26
NASDAQ,DYAX,2008-06-24,3.40,3.40,3.18,3.31,165900,3.31
NASDAQ,DYAX,2008-06-23,3.51,3.70,3.34,3.35,171200,3.35
NASDAQ,DYAX,2008-06-20,3.61,3.79,3.55,3.76,136800,3.76
NASDAQ,DYAX,2008-06-19,3.58,3.64,3.52,3.58,78000,3.58
NASDAQ,DYAX,2008-06-18,3.72,3.77,3.53,3.55,129400,3.55
NASDAQ,DYAX,2008-06-17,3.72,3.79,3.67,3.68,114100,3.68
NASDAQ,DYAX,2008-06-16,3.68,3.80,3.68,3.71,134900,3.71
NASDAQ,DYAX,2008-06-13,3.79,3.89,3.62,3.65,147200,3.65
NASDAQ,DYAX,2008-06-12,3.75,3.83,3.70,3.80,87600,3.80
NASDAQ,DYAX,2008-06-11,3.80,3.81,3.72,3.72,79500,3.72
NASDAQ,DYAX,2008-06-10,3.88,3.88,3.76,3.79,84100,3.79
NASDAQ,DYAX,2008-06-09,4.16,4.16,3.76,3.87,137200,3.87
NASDAQ,DYAX,2008-06-06,4.05,4.17,3.93,4.12,164900,4.12
NASDAQ,DYAX,2008-06-05,3.83,4.06,3.83,4.06,157800,4.06
NASDAQ,DYAX,2008-06-04,3.81,3.89,3.73,3.85,118300,3.85
NASDAQ,DYAX,2008-06-03,3.75,3.81,3.72,3.74,221200,3.74
NASDAQ,DYAX,2008-06-02,3.71,3.81,3.68,3.72,302700,3.72
NASDAQ,DYAX,2008-05-30,3.77,3.94,3.58,3.68,224800,3.68
NASDAQ,DYAX,2008-05-29,3.70,3.86,3.65,3.80,77000,3.80
NASDAQ,DYAX,2008-05-28,3.87,3.87,3.61,3.73,75200,3.73
NASDAQ,DYAX,2008-05-27,3.81,3.86,3.60,3.84,90700,3.84
NASDAQ,DYAX,2008-05-23,3.66,3.72,3.60,3.63,491700,3.63
NASDAQ,DYAX,2008-05-22,3.65,3.73,3.61,3.69,62600,3.69
NASDAQ,DYAX,2008-05-21,3.80,3.80,3.61,3.67,150200,3.67
NASDAQ,DYAX,2008-05-20,3.77,3.89,3.74,3.80,154600,3.80
NASDAQ,DYAX,2008-05-19,3.88,3.88,3.76,3.80,97000,3.80
NASDAQ,DYAX,2008-05-16,3.83,3.87,3.78,3.87,89000,3.87
NASDAQ,DYAX,2008-05-15,3.91,3.91,3.72,3.82,143100,3.82
NASDAQ,DYAX,2008-05-14,3.81,3.97,3.80,3.88,245000,3.88
NASDAQ,DYAX,2008-05-13,3.87,3.89,3.70,3.75,90500,3.75
NASDAQ,DYAX,2008-05-12,3.75,3.81,3.72,3.79,93900,3.79
NASDAQ,DYAX,2008-05-09,3.61,3.79,3.61,3.77,118900,3.77
NASDAQ,DYAX,2008-05-08,3.64,3.71,3.60,3.60,102500,3.60
NASDAQ,DYAX,2008-05-07,3.67,3.72,3.57,3.61,718300,3.61
NASDAQ,DYAX,2008-05-06,3.65,3.80,3.65,3.70,499400,3.70
NASDAQ,DYAX,2008-05-05,3.84,3.88,3.68,3.69,140800,3.69
NASDAQ,DYAX,2008-05-02,3.89,3.95,3.80,3.87,117400,3.87
NASDAQ,DYAX,2008-05-01,3.99,3.99,3.75,3.89,178300,3.89
NASDAQ,DYAX,2008-04-30,3.93,4.01,3.72,4.01,330700,4.01
NASDAQ,DYAX,2008-04-29,4.00,4.00,3.90,3.97,230800,3.97
NASDAQ,DYAX,2008-04-28,4.00,4.29,3.90,4.03,398100,4.03
NASDAQ,DYAX,2008-04-25,4.07,4.18,4.01,4.06,253000,4.06
NASDAQ,DYAX,2008-04-24,4.17,4.19,3.85,4.09,811100,4.09
NASDAQ,DYAX,2008-04-23,4.21,4.33,4.19,4.20,233000,4.20
NASDAQ,DYAX,2008-04-22,4.36,4.40,4.20,4.30,298400,4.30
NASDAQ,DYAX,2008-04-21,4.41,4.44,4.29,4.43,477900,4.43
NASDAQ,DYAX,2008-04-18,4.90,4.90,4.33,4.40,555700,4.40
NASDAQ,DYAX,2008-04-17,4.74,4.92,4.69,4.88,227900,4.88
NASDAQ,DYAX,2008-04-16,4.66,4.78,4.50,4.74,280700,4.74
NASDAQ,DYAX,2008-04-15,4.95,4.95,4.51,4.67,236900,4.67
NASDAQ,DYAX,2008-04-14,5.04,5.07,4.71,4.91,234500,4.91
NASDAQ,DYAX,2008-04-11,4.95,5.04,4.90,5.01,109800,5.01
NASDAQ,DYAX,2008-04-10,5.01,5.18,5.00,5.01,137100,5.01
NASDAQ,DYAX,2008-04-09,5.10,5.10,4.93,5.04,202200,5.04
